position_id,user_image_name,true_room,found_room,calculation_time
0,room_val011.jpg,corridor_e1,corridor_e1,2.4326181411743164
0,room_val012.jpg,corridor_e1,corridor_e1,2.2329180240631104
0,room_val013.jpg,corridor_e1,corridor_e1,2.2722809314727783
1,room_val014.jpg,corridor_e2,corridor_e2,2.126333236694336
1,room_val015.jpg,corridor_e2,bk_expo,2.05951189994812
1,room_val016.jpg,corridor_e2,corridor_e7,2.0898795127868652
2,room_val017.jpg,corridor_e5,corridor_e5,2.1983048915863037
2,room_val018.jpg,corridor_e5,corridor_e7,2.1746954917907715
3,room_val019.jpg,snack_hall,snack_hall,2.256226062774658
3,room_val020.jpg,snack_hall,snack_hall,2.195913553237915
3,room_val021.jpg,snack_hall,snack_hall,2.1406123638153076
4,room_val022.jpg,red_stairs,red_stairs,2.055572748184204
4,room_val023.jpg,red_stairs,corridor_w3,2.0977623462677
4,room_val024.jpg,red_stairs,red_stairs,2.3449206352233887
5,room_val025.jpg,corridor_e9,corridor_e9,2.237598180770874
5,room_val026.jpg,corridor_e9,servicepunt,2.1980326175689697
5,room_val027.jpg,corridor_e9,corridor_e6,2.0067286491394043
6,room_val028.jpg,servicepunt,servicepunt,1.9866318702697754
6,room_val029.jpg,servicepunt,servicepunt,2.1481339931488037
7,room_val030.jpg,corridor_w1,servicepunt,2.199946641921997
6,room_val031.jpg,servicepunt,servicepunt,2.150085926055908
7,room_val032.jpg,corridor_w1,corridor_w1,2.1431140899658203
7,room_val033.jpg,corridor_w1,red_stairs,2.006622076034546
8,room_val034.jpg,corridor_w2,corridor_e9,2.089336395263672
8,room_val035.jpg,corridor_w2,corridor_w2,2.0617759227752686
8,room_val036.jpg,corridor_w2,corridor_w2,2.1763691902160645
8,room_val037.jpg,corridor_w2,berlage_hall,2.1326096057891846
9,room_val038.jpg,berlage_01,berlage_01,2.261059045791626
9,room_val039.jpg,berlage_01,berlage_01,2.2293784618377686
9,room_val040.jpg,berlage_01,berlage_01,2.015690326690674
9,room_val041.jpg,berlage_01,berlage_02,2.1127238273620605
10,room_val042.jpg,servicepunt,corridor_e8,2.1904072761535645
10,room_val043.jpg,servicepunt,servicepunt,2.2038748264312744
10,room_val044.jpg,servicepunt,servicepunt,2.295163154602051
11,room_val045.jpg,corridor_e6,corridor_e4,2.1619696617126465
12,room_val046.jpg,hall_p,hall_p,2.1379358768463135
12,room_val047.jpg,hall_p,hall_p,2.161808967590332
12,room_val048.jpg,hall_p,hall_p,2.1960482597351074
12,room_val049.jpg,hall_p,hall_p,2.3288064002990723
13,room_val050.jpg,hall_q,hall_p,2.4590694904327393
13,room_val051.jpg,hall_q,hall_p,2.254173755645752
13,room_val052.jpg,hall_q,hall_q,2.1485183238983154
13,room_val053.jpg,hall_q,hall_q,2.3095269203186035
14,room_val054.jpg,hall_b,hall_b,2.172236680984497
14,room_val055.jpg,hall_b,tree_hall,2.2197325229644775
14,room_val056.jpg,hall_b,hall_b,2.1102898120880127
14,room_val057.jpg,hall_b,hall_b,2.4016385078430176
15,room_val058.jpg,hall_d,hall_d,2.0907366275787354
15,room_val059.jpg,hall_d,hall_d,1.957085371017456
15,room_val060.jpg,hall_d,hall_d,1.9438416957855225
