position_id,user_image_name,true_room,found_room,calculation_time
0,"['room_val011.jpg', 'room_val012.jpg', 'room_val013.jpg']",corridor_e1,corridor_e1,4.05740213394165
1,"['room_val014.jpg', 'room_val015.jpg', 'room_val016.jpg']",corridor_e2,bk_expo,3.6991710662841797
2,"['room_val017.jpg', 'room_val018.jpg']",corridor_e5,corridor_e5,3.444729804992676
3,"['room_val019.jpg', 'room_val020.jpg', 'room_val021.jpg']",snack_hall,snack_hall,4.014931678771973
4,"['room_val022.jpg', 'room_val023.jpg', 'room_val024.jpg']",red_stairs,red_stairs,3.8661208152770996
5,"['room_val025.jpg', 'room_val026.jpg', 'room_val027.jpg']",corridor_e9,corridor_e9,3.7747018337249756
6,"['room_val028.jpg', 'room_val029.jpg', 'room_val031.jpg']",servicepunt,servicepunt,3.9388911724090576
7,"['room_val030.jpg', 'room_val032.jpg', 'room_val033.jpg']",corridor_w1,corridor_w1,4.081925392150879
8,"['room_val034.jpg', 'room_val035.jpg', 'room_val036.jpg', 'room_val037.jpg']",corridor_w2,corridor_w2,4.591088533401489
9,"['room_val038.jpg', 'room_val039.jpg', 'room_val040.jpg', 'room_val041.jpg']",berlage_01,berlage_01,5.302541017532349
10,"['room_val042.jpg', 'room_val043.jpg', 'room_val044.jpg']",servicepunt,servicepunt,4.19482684135437
12,"['room_val046.jpg', 'room_val047.jpg', 'room_val048.jpg', 'room_val049.jpg']",hall_p,hall_p,4.469555377960205
13,"['room_val050.jpg', 'room_val051.jpg', 'room_val052.jpg', 'room_val053.jpg']",hall_q,hall_q,4.783281326293945
14,"['room_val054.jpg', 'room_val055.jpg', 'room_val056.jpg', 'room_val057.jpg']",hall_b,hall_b,4.717041015625
15,"['room_val058.jpg', 'room_val059.jpg', 'room_val060.jpg', 'room_val061.jpg']",hall_d,hall_d,4.477847576141357
16,"['room_val062.jpg', 'room_val063.jpg', 'room_val064.jpg', 'room_val065.jpg']",hall_r,hall_r,4.855129241943359
17,"['room_val066.jpg', 'room_val067.jpg', 'room_val068.jpg']",geolab,geolab,3.7869396209716797
18,"['room_val069.jpg', 'room_val070.jpg', 'room_val071.jpg']",geolab,geolab,3.6102583408355713
19,"['room_val072.jpg', 'room_val073.jpg', 'room_val074.jpg']",tree_hall,tree_hall,4.527422904968262
20,"['room_val075.jpg', 'room_val076.jpg', 'room_val077.jpg']",tree_hall,tree_hall,4.690803050994873
21,"['room_val078.jpg', 'room_val079.jpg', 'room_val080.jpg']",tree_hall,tree_hall,3.644317150115967
22,"['room_val081.jpg', 'room_val082.jpg', 'room_val083.jpg']",corridor_e2,corridor_e2,3.9275927543640137
23,"['room_val084.jpg', 'room_val085.jpg', 'room_val086.jpg']",corridor_e2,bk_expo,4.008996486663818
24,"['room_val087.jpg', 'room_val088.jpg', 'room_val089.jpg']",hall_r,hall_r,3.8242292404174805
25,"['room_val090.jpg', 'room_val091.jpg', 'room_val092.jpg']",hall_r,hall_r,3.5901553630828857
26,"['room_val093.jpg', 'room_val094.jpg', 'room_val095.jpg']",hall_r,hall_r,3.908245325088501
27,"['room_val096.jpg', 'room_val097.jpg', 'room_val098.jpg']",corridor_e3,corridor_e3,3.9090065956115723
28,"['room_val099.jpg', 'room_val100.jpg', 'room_val101.jpg']",corridor_e5,corridor_e5,3.82500958442688
29,"['room_val102.jpg', 'room_val103.jpg', 'room_val104.jpg']",corridor_e6,corridor_e6,3.6086630821228027
30,"['room_val105.jpg', 'room_val106.jpg', 'room_val107.jpg']",corridor_e8,corridor_e8,3.891146183013916
31,"['room_val108.jpg', 'room_val109.jpg', 'room_val110.jpg']",red_stairs,red_stairs,3.7871556282043457
32,"['room_val111.jpg', 'room_val112.jpg', 'room_val113.jpg']",red_stairs,red_stairs,3.6858344078063965
33,"['room_val114.jpg', 'room_val115.jpg', 'room_val116.jpg']",corridor_e9,corridor_e9,3.8273487091064453
34,"['room_val117.jpg', 'room_val118.jpg', 'room_val119.jpg']",corridor_e9,corridor_e9,4.092565298080444
35,"['room_val120.jpg', 'room_val121.jpg', 'room_val122.jpg']",servicepunt,servicepunt,3.826249122619629
36,"['room_val123.jpg', 'room_val124.jpg', 'room_val125.jpg']",servicepunt,servicepunt,3.7879762649536133
37,"['room_val126.jpg', 'room_val127.jpg', 'room_val128.jpg']",main_entrance,main_entrance,3.811683416366577
38,"['room_val129.jpg', 'room_val130.jpg', 'room_val131.jpg']",corridor_w1,corridor_w1,3.8849329948425293
39,"['room_val132.jpg', 'room_val133.jpg', 'room_val134.jpg']",corridor_w1,corridor_w1,3.654167652130127
40,"['room_val135.jpg', 'room_val136.jpg', 'room_val137.jpg']",corridor_w2,corridor_w2,3.8898367881774902
41,"['room_val138.jpg', 'room_val139.jpg', 'room_val140.jpg']",berlage_hall,berlage_hall,3.837820529937744
42,"['room_val141.jpg', 'room_val142.jpg', 'room_val143.jpg']",berlage_hall,berlage_hall,3.636181116104126
43,"['room_val144.jpg', 'room_val145.jpg', 'room_val146.jpg']",berlage_02,berlage_02,3.6599864959716797
44,"['room_val147.jpg', 'room_val148.jpg', 'room_val149.jpg']",berlage_02,berlage_02,3.8038573265075684
45,"['room_val150.jpg', 'room_val151.jpg', 'room_val152.jpg']",berlage_01,berlage_01,3.8732481002807617
46,"['room_val153.jpg', 'room_val154.jpg', 'room_val155.jpg']",berlage_01,berlage_01,3.6568844318389893
47,"['room_val156.jpg', 'room_val157.jpg', 'room_val158.jpg']",berlage_01,berlage_01,3.6715753078460693
48,"['room_val159.jpg', 'room_val160.jpg', 'room_val161.jpg']",berlage_02,berlage_02,3.7754385471343994
49,"['room_val162.jpg', 'room_val163.jpg', 'room_val164.jpg']",berlage_02,berlage_02,3.6359946727752686
50,"['room_val165.jpg', 'room_val166.jpg', 'room_val167.jpg']",west_entrance,west_entrance,3.5800657272338867
51,"['room_val168.jpg', 'room_val169.jpg', 'room_val170.jpg']",corridor_w2,corridor_w3,3.7798266410827637
52,"['room_val171.jpg', 'room_val172.jpg', 'room_val173.jpg']",corridor_w3,corridor_w3,3.91428804397583
53,"['room_val174.jpg', 'room_val175.jpg', 'room_val176.jpg']",red_stairs,red_stairs,3.5536954402923584
54,"['room_val177.jpg', 'room_val178.jpg', 'room_val179.jpg']",red_stairs,red_stairs,3.639132261276245
55,"['room_val180.jpg', 'room_val181.jpg', 'room_val182.jpg']",bk_expo,bk_expo,4.275827884674072
56,"['room_val183.jpg', 'room_val184.jpg', 'room_val185.jpg']",bk_expo,bk_expo,4.00310492515564
57,"['room_val186.jpg', 'room_val187.jpg', 'room_val188.jpg']",main_entrance,main_entrance,3.5346221923828125
58,"['room_val189.jpg', 'room_val190.jpg', 'room_val191.jpg']",servicepunt,servicepunt,3.8391387462615967
59,"['room_val192.jpg', 'room_val193.jpg', 'room_val194.jpg']",corridor_e9,corridor_e9,3.695385456085205
60,"['room_val195.jpg', 'room_val196.jpg', 'room_val197.jpg']",snack_hall,snack_hall,3.4968698024749756
61,"['room_val198.jpg', 'room_val199.jpg', 'room_val200.jpg']",hall_p,hall_p,3.5752272605895996
62,"['room_val201.jpg', 'room_val202.jpg', 'room_val203.jpg']",hall_p,hall_q,3.929511547088623
63,"['room_val204.jpg', 'room_val205.jpg', 'room_val206.jpg']",hall_p,hall_p,3.9182097911834717
64,"['room_val207.jpg', 'room_val208.jpg', 'room_val209.jpg']",hall_q,hall_q,3.492072105407715
65,"['room_val210.jpg', 'room_val211.jpg', 'room_val212.jpg']",hall_q,hall_q,3.717794895172119
66,"['room_val213.jpg', 'room_val214.jpg', 'room_val215.jpg']",hall_q,hall_p,3.8156652450561523
67,"['room_val216.jpg', 'room_val217.jpg', 'room_val218.jpg']",hall_b,hall_b,3.7564921379089355
68,"['room_val219.jpg', 'room_val220.jpg', 'room_val221.jpg']",hall_b,hall_b,3.6326966285705566
69,"['room_val222.jpg', 'room_val223.jpg', 'room_val224.jpg']",hall_b,hall_b,4.175553560256958
70,"['room_val225.jpg', 'room_val226.jpg', 'room_val227.jpg']",hall_b,hall_b,3.944758176803589
71,"['room_val228.jpg', 'room_val229.jpg', 'room_val230.jpg']",hall_b,hall_b,3.696657657623291
72,"['room_val231.jpg', 'room_val232.jpg', 'room_val233.jpg']",hall_b,hall_b,3.96597957611084
73,"['room_val234.jpg', 'room_val235.jpg', 'room_val236.jpg']",R2,R2,3.973177671432495
74,"['room_val237.jpg', 'room_val238.jpg', 'room_val239.jpg']",R2,R2,3.8161327838897705
75,"['room_val240.jpg', 'room_val241.jpg', 'room_val242.jpg']",R2,geolab,3.9519996643066406
76,"['room_val243.jpg', 'room_val244.jpg', 'room_val245.jpg']",hall_d,hall_d,3.845031499862671
77,"['room_val246.jpg', 'room_val247.jpg', 'room_val248.jpg']",hall_d,hall_d,4.047615051269531
78,"['room_val249.jpg', 'room_val250.jpg', 'room_val251.jpg']",hall_d,hall_d,4.036545276641846
79,"['room_val252.jpg', 'room_val253.jpg', 'room_val254.jpg']",hall_d,hall_d,3.764497995376587
80,"['room_val255.jpg', 'room_val256.jpg', 'room_val257.jpg']",hall_d,hall_d,3.8783881664276123
81,"['room_val258.jpg', 'room_val259.jpg', 'room_val260.jpg']",hall_r,hall_r,3.615370750427246
82,"['room_val261.jpg', 'room_val262.jpg', 'room_val263.jpg']",hall_r,hall_r,3.5554239749908447
83,"['room_val264.jpg', 'room_val265.jpg', 'room_val266.jpg']",hall_r,hall_r,3.778773784637451
84,"['room_val267.jpg', 'room_val268.jpg', 'room_val269.jpg']",hall_r,hall_r,3.8099565505981445
85,"['room_val270.jpg', 'room_val271.jpg', 'room_val272.jpg']",hall_r,hall_r,3.470038414001465
86,"['room_val273.jpg', 'room_val274.jpg', 'room_val275.jpg']",espressobar,espressobar,3.651348352432251
87,"['room_val276.jpg', 'room_val277.jpg', 'room_val278.jpg']",espressobar,espressobar,3.9480204582214355
88,"['room_val279.jpg', 'room_val280.jpg', 'room_val281.jpg']",espressobar,espressobar,3.7352054119110107
89,"['room_val282.jpg', 'room_val283.jpg', 'room_val284.jpg']",espressobar,espressobar,3.585498332977295
90,"['room_val285.jpg', 'room_val286.jpg', 'room_val287.jpg']",espressobar,espressobar,3.7029917240142822
91,"['room_val288.jpg', 'room_val289.jpg', 'room_val290.jpg']",bk_expo,bk_expo,3.835897207260132
92,"['room_val291.jpg', 'room_val292.jpg', 'room_val293.jpg']",orange_hall,orange_hall,3.5602784156799316
93,"['room_val294.jpg', 'room_val295.jpg', 'room_val296.jpg']",espressobar,espressobar,3.986555814743042
94,"['room_val297.jpg', 'room_val298.jpg', 'room_val299.jpg']",corridor_e2,corridor_e2,4.279630899429321
95,"['room_val300.jpg', 'room_val301.jpg', 'room_val302.jpg']",hall_b,hall_b,3.961679458618164
96,"['room_val303.jpg', 'room_val304.jpg', 'room_val305.jpg']",hall_b,hall_b,4.088237762451172
97,"['room_val306.jpg', 'room_val307.jpg', 'room_val308.jpg']",corridor_e6,corridor_e6,3.7864878177642822
98,"['room_val309.jpg', 'room_val310.jpg', 'room_val311.jpg']",corridor_e7,corridor_e7,3.9339773654937744
99,"['room_val312.jpg', 'room_val313.jpg', 'room_val314.jpg']",red_stairs,red_stairs,3.568021774291992
100,"['room_val315.jpg', 'room_val316.jpg', 'room_val317.jpg']",orange_hall,orange_hall,3.529466390609741
101,"['room_val318.jpg', 'room_val319.jpg', 'room_val320.jpg']",orange_hall,orange_hall,4.0228211879730225
102,"['room_val321.jpg', 'room_val322.jpg', 'room_val323.jpg']",orange_hall,orange_hall,4.187686443328857
103,"['room_val324.jpg', 'room_val325.jpg', 'room_val326.jpg']",orange_hall,orange_hall,4.016168832778931
104,"['room_val327.jpg', 'room_val328.jpg', 'room_val329.jpg']",corridor_e2,corridor_e2,3.7571518421173096
105,"['room_val330.jpg', 'room_val331.jpg', 'room_val332.jpg']",corridor_e4,corridor_e4,3.869295597076416
106,"['room_val333.jpg', 'room_val334.jpg', 'room_val335.jpg']",red_stairs,red_stairs,3.8638265132904053
107,"['room_val336.jpg', 'room_val337.jpg', 'room_val338.jpg']",servicepunt,servicepunt,3.563079833984375
108,"['room_val339.jpg', 'room_val340.jpg', 'room_val341.jpg']",corridor_w1,corridor_w1,3.9718141555786133
109,"['room_val342.jpg', 'room_val343.jpg', 'room_val344.jpg']",corridor_w2,corridor_w2,3.75799298286438
110,"['room_val345.jpg', 'room_val346.jpg', 'room_val347.jpg']",corridor_w2,corridor_w2,3.6735103130340576
111,"['room_val348.jpg', 'room_val349.jpg', 'room_val350.jpg']",corridor_w2,corridor_w2,3.9496912956237793
112,"['room_val351.jpg', 'room_val352.jpg', 'room_val353.jpg']",corridor_w3,corridor_w2,3.980532646179199
113,"['room_val354.jpg', 'room_val355.jpg', 'room_val356.jpg']",servicepunt,servicepunt,3.7347817420959473
114,"['room_val357.jpg', 'room_val358.jpg', 'room_val359.jpg']",red_stairs,red_stairs,3.7311434745788574
115,"['room_val360.jpg', 'room_val361.jpg', 'room_val362.jpg']",tree_hall,tree_hall,3.9718499183654785
116,"['room_val363.jpg', 'room_val364.jpg', 'room_val365.jpg']",tree_hall,tree_hall,3.8799331188201904
